title,url,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Finessin The Rhythm,https://open.spotify.com/track/7LEZF2s3iV1mmfJbPGZ4mb,"FOREVER ANTI POP, DAVID SABASTIAN",0.777,0.756,7,-6.277,1,0.305,0.115,0.0,0.328,0.764,113.059,220840,4
Straight Up,https://open.spotify.com/track/4tOv1hyYZes16iYSj2qSCw,C5,0.704,0.796,4,-5.351,0,0.246,0.0394,0.0,0.334,0.664,77.376,202839,4
Keep Running,https://open.spotify.com/track/5k42EV7nhmL2CrfX4z2CKe,TEI SHI,0.537,0.642,6,-7.106,0,0.0733,0.229,1.85e-05,0.0986,0.276,78.897,199320,4
Sunday Finest,https://open.spotify.com/track/7q06iElZYviXEQ7tw0o4SN,SIR ROSEVELT,0.685,0.878,2,-3.859,1,0.0407,0.0237,4.28e-05,0.0455,0.928,130.02,163200,4
PRBLMS,https://open.spotify.com/track/2wf9bp4MkChojtljddWpbO,6LACK,0.672,0.574,9,-4.663,1,0.0993,0.0303,2.02e-06,0.18,0.106,103.019,246773,4
Show You The Way,https://open.spotify.com/track/6LzsF8g3MnyspvcPvlBcC3,"THUNDERCAT, MICHAEL MCDONALD, KENNY LOGGINS",0.699,0.515,0,-10.325,1,0.0669,0.145,0.094,0.102,0.609,75.988,214554,4
Believer,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,IMAGINE DRAGONS,0.779,0.787,10,-4.305,0,0.108,0.0524,0.0,0.14,0.708,124.982,204347,4
Believer,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh,IMAGINE DRAGONS,0.77,0.787,10,-4.402,0,0.113,0.0482,0.0,0.108,0.699,125.013,203782,4
No Favors,https://open.spotify.com/track/04h2uFDF3Ewr7orA6EDbQ3,"BIG SEAN, EMINEM",0.722,0.771,11,-5.5,1,0.32,0.634,1.75e-06,0.312,0.347,93.526,325840,4
Shot Down,https://open.spotify.com/track/58nciIyr5vKpUJkUXXkxCq,KHALID,0.769,0.511,6,-6.673,1,0.0609,0.885,0.000186,0.106,0.507,123.954,209185,4
(No One Knows Me) Like the Piano,https://open.spotify.com/track/5zOnoB8FdZudDcPX4O8WqF,SAMPHA,0.621,0.199,10,-13.788,1,0.0344,0.976,0.00186,0.107,0.178,128.905,218160,4
Thief,https://open.spotify.com/track/3BtA1koBtnClfirgg4BpjI,ANSEL ELGORT,0.592,0.741,1,-3.792,0,0.0842,0.0251,0.0,0.111,0.379,180.038,220680,4
Love Is Mystical,https://open.spotify.com/track/4RJnzmVL12aIuWpMoXu2u4,COLD WAR KIDS,0.566,0.865,0,-5.082,0,0.0387,0.00506,1.31e-05,0.215,0.684,105.964,214373,4
Body,https://open.spotify.com/track/0IaiJbZebXLqfetAkMEZzU,SYD,0.88,0.507,1,-7.782,1,0.0921,0.0587,0.474,0.109,0.378,109.977,262053,4
Lions,https://open.spotify.com/track/6LvVVRxgcgeQ6uzyk375LI,SKIP MARLEY,0.604,0.734,4,-4.553,0,0.0383,0.0535,0.0,0.171,0.139,120.02,208173,4
My Old Man,https://open.spotify.com/track/2bbWBkiq2vH4Y7pjE0qYcW,MAC DEMARCO,0.663,0.578,1,-11.515,1,0.0333,0.649,0.37,0.0985,0.849,149.272,221653,4
Chained To The Rhythm,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby,"KATY PERRY, SKIP MARLEY",0.446,0.793,0,-5.365,1,0.156,0.089,0.0,0.211,0.47,189.891,237915,4
Don't Kill My Vibe,https://open.spotify.com/track/3irNpONYOfunwlUdj3WARO,SIGRID,0.549,0.773,10,-4.823,1,0.105,0.248,6.89e-05,0.243,0.289,149.952,184320,4
Mask Off,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,FUTURE,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,204600,4
All On Me,https://open.spotify.com/track/2Nc8Imt04W3ZmcBF8dPQKc,DEVIN DAWSON,0.631,0.658,5,-5.313,1,0.0281,0.144,0.0,0.22,0.7,80.996,227573,4
How Would You Feel (Paean),https://open.spotify.com/track/1lyNFzcCl9kXCof6GV32fV,ED SHEERAN,0.617,0.439,9,-5.63,1,0.0269,0.424,0.0,0.127,0.242,139.979,280533,4
Heavy (feat. Kiiara),https://open.spotify.com/track/32bqxZEJRJObeNyc8bEiPt,LINKIN PARK,0.59,0.671,9,-6.098,1,0.0706,0.0484,0.0,0.0604,0.438,149.982,169801,4
Some Way,https://open.spotify.com/track/0bGVqUPZZ2owtWEyzIggQI,"NAV, THE WEEKND",0.742,0.704,7,-6.161,1,0.316,0.0952,0.0,0.0805,0.346,154.907,178064,4
Nobody Else but You,https://open.spotify.com/track/2slbJay1LPdOafYYCTe5Ss,TREY SONGZ,0.698,0.611,5,-6.361,0,0.155,0.0371,0.0,0.246,0.228,139.972,228723,4
Machine,https://open.spotify.com/track/4HMNnAMODzVR2Hti9z98OA,MISTERWIVES,0.638,0.847,5,-3.932,0,0.0392,0.226,0.0,0.269,0.543,100.024,212480,4
Love Incredible (feat. Camila Cabello),https://open.spotify.com/track/5f3FQBNEyJBquykRZwQITm,CASHMERE CAT,0.354,0.51,10,-8.849,0,0.157,0.0539,0.0,0.259,0.208,166.973,179145,4
Suit And Jacket,https://open.spotify.com/track/4SZqm48naZc6gACcw8ql0y,JUDAH & THE LION,0.436,0.584,10,-8.523,1,0.0472,0.214,4.89e-05,0.101,0.109,164.141,222241,4
High,https://open.spotify.com/track/0UREuyMot9zc8aIuKDBvgk,LITTLE DRAGON,0.638,0.339,0,-10.563,1,0.0295,0.588,0.00273,0.106,0.563,78.976,256973,4
Friend Zone,https://open.spotify.com/track/1wkeAltJoidYXxaXOQZB6M,THUNDERCAT,0.59,0.83,1,-4.953,1,0.0353,0.268,0.00379,0.114,0.237,106.998,192511,4
Nimble Bastard,https://open.spotify.com/track/7we5iykuJBQKIBaRrsEjYT,INCUBUS,0.459,0.924,1,-4.475,0,0.063,0.000153,9.17e-06,0.212,0.49,89.92,221173,4
Used to This (feat. Drake),https://open.spotify.com/track/3V8sM5OOG6YfDuDLa2IIYJ,FUTURE,0.618,0.727,3,-7.224,0,0.208,0.0312,0.0,0.196,0.401,164.992,180520,4
Good Drank,https://open.spotify.com/track/6aRlUgqcLgrxQE3RMngjN5,"2 CHAINZ, GUCCI MANE, QUAVO",0.813,0.763,11,-1.199,0,0.281,0.281,0.0,0.107,0.362,130.074,225253,4
