Unnamed: 0,title,artist,url,title_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
103978,BILLY,6IX9INE,https://open.spotify.com/track/1Caok88z2uxMiPt4oV055r,1Caok88z2uxMiPt4oV055r,0.596,0.696,4,-3.865,0,0.374,0.167,0,0.106,0.74,179.816,112667,4
103979,Psycho (feat. Ty Dolla $ign),POST MALONE,https://open.spotify.com/track/7wrDRQgHlvDnimrRHfQZxt,7wrDRQgHlvDnimrRHfQZxt,0.748,0.546,8,-8.134,1,0.106,0.59,0,0.112,0.413,140.005,220880,4
103983,44 More,LOGIC,https://open.spotify.com/track/2V1nJCtknnPvSFUJ0a7BUk,2V1nJCtknnPvSFUJ0a7BUk,0.831,0.566,1,-7.094,1,0.214,0.077,0,0.101,0.247,139.986,188613,4
103991,RONDO,"6IX9INE, TORY LANEZ, YOUNG THUG",https://open.spotify.com/track/0d2vY2TqqmWPuXUm1vcwa5,0d2vY2TqqmWPuXUm1vcwa5,0.764,0.799,9,-4.815,0,0.165,0.0519,0,0.715,0.72,95.069,138474,4
103964,KEKE,"6IX9INE, FETTY WAP, A BOOGIE WIT DA HOODIE",https://open.spotify.com/track/2riK2ngTJvk4gk71b3Hem4,2riK2ngTJvk4gk71b3Hem4,0.595,0.854,7,-5.739,1,0.287,0.0358,0,0.404,0.449,187.806,151915,4
104073,93,6IX9INE,https://open.spotify.com/track/4b0GRUb7aItNiXgIJLdLxA,4b0GRUb7aItNiXgIJLdLxA,0.794,0.913,2,-2.565,1,0.183,0.0327,0,0.0976,0.63,130.016,136220,4
104710,Space Cowboy,KACEY MUSGRAVES,https://open.spotify.com/track/4tmL7U0NO0eqqdhLhOPAvF,4tmL7U0NO0eqqdhLhOPAvF,0.454,0.418,1,-7.381,1,0.0283,0.741,0.0153,0.102,0.0832,116.77,216280,4
104706,Butterflies,KACEY MUSGRAVES,https://open.spotify.com/track/2YWk92sHwPWcQAUZSZRl61,2YWk92sHwPWcQAUZSZRl61,0.688,0.617,4,-6.131,0,0.0308,0.236,1.57e-05,0.184,0.43,141.955,219053,4
105676,Powerglide (feat. Juicy J),"RAE SREMMURD, SWAE LEE, SLIM JXMMI",https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG,2yUbCEiaolfSMluDo9RMmG,0.712,0.829,1,-4.707,0,0.141,0.0149,0,0.122,0.593,173.953,332301,4
105747,B.I.D,TORY LANEZ,https://open.spotify.com/track/5mTdAqporE8e0dEk1U8Pkx,5mTdAqporE8e0dEk1U8Pkx,0.758,0.697,10,-5.614,0,0.0859,0.11,0,0.0887,0.559,154.969,164133,4
